id	name
0	""
0	"Agency not listed"
411	 "Massachusetts Commission on Lesbian, Gay, Bisexual, Transgender, Queer and Questioning (LGBTQ) Youth (Commission)
3216	 "Secretary of the Commonwealth of Massachusetts, Public Records Division
2520	 "Alcoholic Beverage Control Commission
8542	 "Massachusetts Commission on Lesbian, Gay, Bisexual, Transgender, Queer and Questioning (LGBTQ) Youth (Commission)
8058	 "secretary of state
8036	 "University of Massachusetts - Boston
2579	 "Northwestern District Attorney's Office
5451	 "Massachusetts Executive Office of Public Safety and Security - Office of the Chief Medical Examiner
7687	 "Massachusetts Educational Financing Authority
7658	 "Board of Registration in Medicine
274	 "Massachusetts State Police
7577	 "Department of Higher Education
508	 "Attorney General's Office
3059	 "Salem State University
2560	 "Berkshire Regional Transit Authority
2488	 "NCCI - Gardner (Massachusetts Corrections)
4046	 "Department of Conservation and Recreation
3946	 "Commission on Judicial Conduct
2477	 "Boston Pre-Release Center (Massachusetts Corrections)
195	 "Massachusetts Emergency Management Agency
7234	 "Massachusetts Department of Agricultural Resources, Division of Animal Health
7233	 "Massachusetts State Gaming Commission
7228	 "Department of Developmental Services
452	 "Commonwealth Fusion Center
3146	 "Secretary of the Commonwealth of Massachusetts
7114	 "Berkshire Community College
7113	 "Greenfield Community College
7112	 "Holyoke Community College
7111	 "Springfield Technical Community College
7110	 "Mount Wachusett Community College
7109	 "Quinsigamond Community College
7108	 "Mass Bay Community College
7107	 "Middlesex Community College
7106	 "Northern Essex Community College
7105	 "North Shore Community College
7104	 "Bunker Hill Community College
7103	 "Roxbury Community College
7102	 "Massasoit Community College
7101	 "Bristol Community College
7100	 "Cape Cod Community College
138	 "Executive Office of Health and Human Services
5417	 "Northeastern Massachusetts Law Enforcement Council
310	 "Department of Correction
3230	 "MBTA Transit Police
453	 "Executive Office of Public Safety and Security
192	 "University of Massachusetts
6225	 "office of the attorney general - massachusetts
6197	 "Massachusetts Office of Information Technology
6185	 "Massachusetts Army National Guard
714	 "Department of Public Health, Division of Health Care Quality
193	 "University of Massachusetts (Amherst)
160	 "Massachusetts Technology Collaborative
163	 "MassDevelopment
412	 "Department of Children and Families
164	 "MassDevelopment
139	 "Human Resources Division
3801	 "Office of Consumer Affairs and Business, Division of Professional Licensure
141	 "Office of the Comptroller
191	 "Elections Division (Secretary of State)
131	 "Parole Board
171	 "Massachusetts Clean Energy Center
156	 "Office of Medicaid
175	 "Department of Revenue
230	 "The Massachusetts Historical Commission
231	 "Department of Youth Services
331	 "Department of Public Safety, Architectural Access Board
257	 "Massachusetts Department of Criminal Justice Information Services
330	 "Supervisor of Public Records
410	 "Registry of Motor Vehicles
501	 "Energy Facilities Siting Board
562	 "Department of Public Utilities
651	 "Metropolitan Law Enforcement Council (MetroLEC)
26	 "Office of Consumer Affairs and Business Regulation
2553	 "Montachusett Regional Transit Authority
5917	 "Massachusetts Department of Criminal Justice Information Services, Architectural Access Board
2554	 "Worcester Regional Transit Authority
2559	 "Nantucket Regional Transit Authority
2414	 "Executive Office of the Trial Court
2410	 "Office of Jury Commissioner
2479	 "Lemuel Shattuck Hospital Correctional Unit (Massachusetts Corrections)
2480	 "Massachusetts Alcohol and Substance Abuse Center (Massachusetts Corrections)
2481	 "Massachusetts Treatment Center (Massachusetts Corrections)
2482	 "MCI - Cedar Junction Walpole (Massachusetts Corrections)
2518	 "Massachusetts Film Office
2498	 "Metro Boston Homeland Security Region
2485	 "MCI - Norfolk (Massachusetts Corrections)
2476	 "Bay State Correctional Center (Massachusetts Corrections)
